Quality,Slot,Talent,Desc,Attr.,Val
S,A,Stoic,"Get +4% Damage Resistance for every enemy that is targeting you.
The bonus is multiplied by 1.X, where X is the number of agents in your group.",,
S,A,Ortiz Incinerator Turret Prototype,"The Incinerator Turret spins 360°.
The Incinerator Turret explodes when disabled.",,
S,A,Charging \ Charged,"Charging
For each second spent out of cover, during combat, Agents will get 5% reduced incoming damage. Max 50%

Charged
While fully charged, gain immunity to any movement speed debuff and share this alongside with all of the agent's hazard protection and the skill damage reduction with all allies for 10 seconds.

After Charged is consumed, Charging buff will resume, if still in combat and out of cover!",,
S,A,On Point,"Hitting a shot with a Rifle or MMR grants a stack. Max stack is equal to the weapon's Magazine Size. Reloading will grant +2% Weapon Handling and +4% Weapon Damage per stack, for 10s.
No stacks are acquired while the bonuses are active. The timer running out will refill your magazine.
Switching weapons while the bonuses are active will stop the effect and refill your magazine. Switching weapons while the bonuses are not active will remove all stacks and refill your magazine.",,
S,A,Symphony,"Killing an enemy further than 25m will provide +40% Weapon Damage to Shotguns, SMG's and Pistols, +20% Weapon Damage to AR's and LMG's and 25% Bonus Armor for 15s.

Killing an enemy within 25m will provide +40% Weapon Damage to MMR's and Rifles, +20% Weapon Damage to AR's and LMG's and +30% Headshot Damage for 15s.

Intermittently killing enemies from both ranges will build up stacks. At 4 stacks, all bonuses are doubled and triggered at the same time for 15s. No stacks are acquired while these bonuses are active.",,
S,A,Return to Sender,"Receive repairs of 10% of the damage dealt by your Skills.
Your allies receive repairs of 20% of the damage dealt by your Skills.",,
S,A,Headache,"First Headshot with a MR will increase next headshot by 20%, second consecutive headshot with a MR will give +10% armor (if at full armor it will give bonus armor max +50% of current armor value), third consecutive headshot will refill magazine.

From the 4th headshot forward agents will get all 3 bonuses for each consecutive headshot kill. Missing a headshot will reset the cycle.",,
S,A,Huddle,"Receive +1 Skill Tier for each ally Agent that is within the range of you Hive or Smart Cover.
While at Skill Tier 6, having at least one ally Agent in the range of your Hive of Smart Cover for 4s will grant Overcharge for 15s. Cooldown: 40s
Mortars and enemy Skills that enter the range of your Hive or Smart Cover will be destroyed. Cooldown 10s. The cooldown is 20% faster for each ally Agent within the range of your Hive or Smart Cover.",,
S,A,Camaraderie,"Shooting an enemy marks them for 7s.
When a marked enemy dies, receive one stack of 3% Weapon Damage & 2% Critical Hit Damage for each Ally or Skill that has contributed to killing that enemy, including yourself.

Max stacks is 35. Stacks decay every 10s.

Maximum amount of marks that can be placed is 4.",,
S,A,From the Shadows \ Into the Light,"Talent: From The Shadows / Into The Light

From The Shadows: While in cover, gain 10 stacks per seconds up to 50. Each stack gives 1% Critical Hit Damage increase and 0.3% RPM. Buff only applies while out of cover. While out of cover, you will lose 2 stacks per seconds at normal speed and 1 stack per second if sprinting.

Into The Light: While out of cover and in combat, gain 10 stacks per seconds up to 50. Each stack gives 0.8% Armor Regen when consumed. Stacks are consumed at 10 stacks per second while in cover.",,
S,A,Core Exercise,"For each Core attribute, receive 40% of the other two Core Attributes' bonuses.Skill Tiers count as 15% Skill Efficiency when these attributes are applied.All pieces from this Gear Set, apart from the Backpack, will feature random Core Attributes",,
S,A,Ortiz Rapid Application Nanite Prototype,"Healing Skills' Duration and Range are decreased by 75%, but their Healing Efficiency is increased by 100%.

Healing an Ally with a Skill will provide them 30% Hazard Protection for 10s. Cooldown per ally: 10s.",,
S,Chest,Overcharged Nanites,Increase the Healing Efficiency bonus from 100% to 150%.,,
S,Backpack,Improved Dampeners,Decrease the Duration and Range reduction from 75% to 25%.,,
N,Chest,Perfect Empathic Resolve,"Repairing an ally, increases their total weapon and skill damage by 3-20% for 10s. 1-15% if self. Effectiveness increased by your skill tier.",,
N,Backpack,Perfect Safeguard,"While at full armor, increases total skill repair by 160%.",,
E,Kneepads,Impervious,Both you and Allies within 10m of you receive +40% Hazard Protection.,,
