Skill Stat ID,Skill Variant Name,Display,Stat,Val,Unit,Tier 0,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Overcharge,Type,Stat Bonus,Snowflake
53,Blinder Firefly,TRUE,Speed,1,,4.5,8.00%,16.00%,24.00%,32.00%,40.00%,50.00%,75.00%,,Mortar Blast Radius,
54,Bombardier Drone,TRUE,Blast Radius,3.5m,m,29863,,,,,,,,O,Bleed Damage,
55,Bombardier Drone,TRUE,Cooldown,25s,s,7,,,,,,,,,Bleed Duration,
56,Bombardier Drone,TRUE,Damage,"564,079",,7465,,,,,,,,O,PvP Bleed Damage,
57,Bombardier Drone,TRUE,Duration,20s,s,182496,15.00%,30.00%,45.00%,60.00%,75.00%,90.00%,137.50%,O,Skill Damage,
58,Bombardier Drone,TRUE,Explosion Damage,"564,079",,,,,,,,,,B,(Blank),
59,Bombardier Drone,TRUE,Extra Bombs,,,0,,,,,,,,O,Burn Damage,
6,Achilles Pulse,TRUE,Radius,20°,°,10,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,100.00%,U,Effect Duration,
60,Bombardier Drone,TRUE,Health,"1,061,796 HP", HP,26545,20.00%,40.00%,60.00%,80.00%,100.00%,120.00%,175.00%,O,Skill Damage,
61,Bombardier Drone,TRUE,Number of Bombs,3,,26545,20.00%,40.00%,60.00%,80.00%,100.00%,120.00%,175.00%,O,Skill Damage,
62,Bombardier Drone,FALSE,PvP Damage,"152,301",,180,,,,,,,,U,Skill Duration,
63,Booster Hive,TRUE,Buff Duration,5s,s,0,,,,,,,,O,Extra Mortar Ammo,
64,Booster Hive,TRUE,Charges,8,,0,,,,,,,,O,Extra Sniper Ammo,
65,Booster Hive,TRUE,Duration,180s,s,1061796,70.00%,140.00%,210.00%,280.00%,350.00%,420.00%,560.00%,D,Skill Health,
66,Booster Hive,TRUE,Health,"796,347 HP", HP,25,,,,,,,,U,Skill Haste,
67,Booster Hive,TRUE,Range,8m,m,180,,,,,,,,U,Skill Duration,
68,Booster Hive,TRUE,Refill Speed,11.3s,s,6636,20.00%,40.00%,60.00%,80.00%,100.00%,120.00%,175.00%,O,PvP Damage,
69,Booster Hive,TRUE,Stim Charges,,,,,,,,,,,B,(Blank),
7,Airburst Seeker Mine,TRUE,Burn Damage,"79,635",,398174,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,100.00%,U,Skill Health,
70,Booster Hive,TRUE,Stim Efficiency,20%,%,20,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,150.00%,U,Cone Size,
71,Bulwark Ballistic Shield,TRUE,Active Regeneration,"79,635 HP/s", HP/s,30,,,,,,,,U,Range,
72,Bulwark Ballistic Shield,TRUE,Cooldown,20s,s,30,,,,,,,,U,Range,
73,Bulwark Ballistic Shield,TRUE,Damage Bonus (Per Enemy),,,30,,,,,,,,U,Skill Haste,
74,Bulwark Ballistic Shield,TRUE,Holstered Regeneration,"132,725 HP/s", HP/s,4,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,100.00%,U,Disorient Duration,
75,Bulwark Ballistic Shield,FALSE,PvP Damage Taken Modifier,8,,4,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,100.00%,U,Disorient Duration,
76,Bulwark Ballistic Shield,TRUE,Shield Health,"2,654,490 HP", HP,,,,,,,,,,Health,
77,Burn Sticky Bomb,TRUE,Burn Damage,"79,635",,5.5,,,,,,,1,U,Charge Speed,
78,Burn Sticky Bomb,TRUE,Burn Duration,4.5s,s,10,,,,,,,,,Skill Duration,
79,Burn Sticky Bomb,TRUE,Cooldown,60s,s,,,,,,,,,B,(Blank),
8,Airburst Seeker Mine,TRUE,Burn Duration,4s,s,1,,,1,1,1,2,5,,Zone(s),
80,Burn Sticky Bomb,TRUE,Damage,"995,434",,5,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,100.00%,U,Blind Effect Duration,
81,Burn Sticky Bomb,TRUE,Duration,10s,s,,,,,,,,,,Damage,
82,Burn Sticky Bomb,FALSE,PvP Damage,"218,995",,2,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,100.00%,U,Blind Effect Duration,
83,Burster Firefly,TRUE,Cooldown,30s,s,50,,,,,,,,U,Skill Haste,
84,Burster Firefly,TRUE,Damage,"663,623",,1,35.00%,70.00%,105.00%,140.00%,175.00%,210.00%,250.00%,U,Speed,
85,Burster Firefly,TRUE,Health,"663,623 HP", HP,3,1,2,3,4,5,6,10,U,Max Targets,
86,Burster Firefly,TRUE,Max Targets,4,,663623,,,,,,,,,Skill Health,
87,Burster Firefly,FALSE,PvP Damage,"232,267",,,,,,,,,,B,(Blank),
88,Burster Firefly,TRUE,Speed,1,,,,,,,,,,,Deflect Duration,
89,Cluster Seeker Mine,TRUE,Blast Radius,2m,m,20,,,,,,,,U,Skill Duration,
9,Airburst Seeker Mine,TRUE,Cooldown,30s,s,,,,,,,,,B,(Blank),
90,Cluster Seeker Mine,TRUE,Cooldown,50s,s,20,,,,,,,,U,Skill Duration,
91,Cluster Seeker Mine,TRUE,Damage,"729,985",,,,,,,,,,,Armor Repair,
92,Cluster Seeker Mine,TRUE,Healing,,,564079,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,60.00%,O,Blast Damage,
93,Cluster Seeker Mine,TRUE,Health,"199,087 HP", HP,,,,,,,,,,Damage Reduction,
94,Cluster Seeker Mine,TRUE,Number of Mines,3,,,,,,,,,,,Extra Bombs,
95,Cluster Seeker Mine,FALSE,PvP Damage,"131,397",,1061796,70.00%,140.00%,210.00%,280.00%,350.00%,420.00%,420.00%,U,Skill Health,
96,Crusader Ballistic Shield,TRUE,Active Regeneration,"39,817 HP/s", HP/s,,,,,,,,,,Scan Range,
97,Crusader Ballistic Shield,TRUE,Cooldown,20s,s,,,,,,,,,,Scan Range,
98,Crusader Ballistic Shield,TRUE,Damage Bonus (Per Enemy),,,3.5,,,,,,,5,,Blast Radius,
99,Crusader Ballistic Shield,TRUE,Holstered Regeneration,"66,362 HP/s", HP/s,25,,,,,,,,,Skill Haste,
