Variant,Name,Slot,Quality,Weapon Type,Base Damage,Optimal Range,RPM,Mag Size,Reload Speed (ms),HSD,Core 1,Core 1 Max,Core 2,Core 2 Max,Attribute 1,Talent,Optics,Under Barrel,Magazine,Muzzle,Icon,Icon Ref
X-45,X-45 Tactical Replica,S,High End,Pistol,88321,16,400,15,1990,100,Pistol Damage,15,,,A,A,,Gadget,Pistol,.45 ACP,x_45.png,w_p_fnx45_tactical_t1
Magnum,Orbit,S,Named,Pistol,233278,16,160,6,2540,100,Pistol Damage,15,,,A,Perfect Finisher,Micro / Neutral / Short,,Revolver Drum,,orbit.png,w_p_s&w586_t1
M1911,Mozambique Special,S,Named,Pistol,117435.5,12,310,7,2330,100,Pistol Damage,15,,,A,Perfect Breadbasket,Micro / Neutral,Gadget,Pistol,.45 ACP,m1911.png,w_p_m1911_t1
PF45,Lightning Rod,S,Named,Pistol,93962.5,14,370,10,1770,100,Pistol Damage,15,,,A,Perfect Salvage,Micro / Neutral,Gadget,Pistol,.45 ACP,p45.png,w_p_m&p45_t1
AK-M,Merciless,P,Exotic,Rifle,102269.5,35,400,30,1740,60,Rifle Damage,15,Critical Hit Damage,17,Critical Hit Chance,Binary Trigger,Merciless,Merciless,Merciless,Merciless,merciless.png,w_mr_exotic_preorder_ak_t1
AK-M,Ruthless,P,Exotic,Rifle,102269.5,35,400,30,1740,60,Rifle Damage,15,Critical Hit Damage,17,Critical Hit Chance,Binary Trigger,Ruthless,Ruthless,Ruthless,Ruthless,ruthless.png,w_ar_exotic_assault_rifle_t1
SIG 716,The Ravenous,P,Exotic,Rifle,134360,50,240,60,2180,60,Rifle Damage,15,Critical Hit Damage,17,Damage to TOC,Geri and Freki,The Ravenous,The Ravenous,The Ravenous,The Ravenous,the-ravenous.png,w_ar_p416double_exotic
1886,Diamondback,P,Exotic,Rifle,386988.5,35,100,8,3150,60,Rifle Damage,15,Critical Hit Damage,17,Headshot Damage,Agonizing Bite,Diamondback,Diamondback,Diamondback,Diamondback,diamondback.png,w_mr_winchester_exotic_t1
1886,1886,P,High End,Rifle,386988.5,35,100,8,3460,60,Rifle Damage,15,Critical Hit Damage,17,A,A,,,Tubular,,1886.png,w_mr_winchester_t1.png
ACR,ACR SS,P,High End,Rifle,101828,45,420,30,2630,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,,
UIC15,UIC15 MOD2,P,High End,Rifle,150316,60,240,30,1730,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long,Side / Short / Long,5.56,5.56,,
M16A2,M16A2,P,High End,Rifle,106971,50,400,30,2440,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Micro / Neutral / Short,,5.56,5.56,m16a2.png,w_ar_m16a2_t1
M16A2,M16A2 Replica,P,High End,Rifle,106971,50,400,30,2440,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Micro / Neutral / Short,,5.56,5.56,m16a2.png,w_ar_m16a2_t1
M1A,Classic M1A,P,High End,Rifle,231346,60,180,10,2600,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long,Side / Short / Long,MM 7.62,,classic_m1a.png,w_mr_m14_t1
M1A,M1A CQB,P,High End,Rifle,129179.5,60,320,10,2320,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long,Side / Short / Long,MM 7.62,8.02,m1a_cqb.png,w_mr_m14_t3
M1A,M1A CQB Replica,P,High End,Rifle,129179.5,60,320,10,2320,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long,Side / Short / Long,MM 7.62,8.02,m1a_cqb.png,w_mr_m14_t3
M1A,SOCOM M1A,P,High End,Rifle,129179.5,60,320,10,2320,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long,Side / Short / Long,MM 7.62,8.02,socom_m1a.png,w_mr_m14_t2
M4,Lightweight M4,P,High End,Rifle,107257.5,55,360,30,2029.9999999999998,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,5.56,5.56,lightweight_m4.png,w_ar_m4_t2
M4,LVOA-C,P,High End,Rifle,100615,55,380,30,2080,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,5.56,5.56,lvoa_c.png,w_ar_m4_t3
M4,LVOA-C Replica,P,High End,Rifle,100615,55,380,30,2080,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,5.56,5.56,lvoa_c.png,w_ar_m4_t3
MDR,Urban MDR,P,High End,Rifle,102970,60,380,20,2850,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,,
MDR,Urban MDR Replica,P,High End,Rifle,102970,60,380,20,2850,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,,
SCAR,Military Mk17,P,High End,Rifle,145850,55,275,10,2450,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,scar.png,w_mr_fnscar-h_t1
SCAR,Police Mk17,P,High End,Rifle,145850,55,275,10,2450,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,scar.png,w_mr_fnscar-h_t1
SCAR,Police Mk17 Replica,P,High End,Rifle,145850,55,275,10,2450,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,scar.png,w_mr_fnscar-h_t1
SIG 716,SIG 716,P,High End,Rifle,121258,45,320,20,2680,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,sig_716.png,w_mr_716_t1
SIG 716,SIG 716 CQB,P,High End,Rifle,125865,45,320,20,2630,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long,Side / Short,8.02,,sig_716.png,w_mr_716_t1
SIG 716,SIG 716 Replica,P,High End,Rifle,121258,45,320,20,2680,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,sig_716.png,w_mr_716_t1
UMP-45,USC .45 ACP,P,High End,Rifle,97742.5,55,420,20,2880,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long,Side / Short / Long,.45 ACP,,,
UMP-45,USC .45 ACP Replica,P,High End,Rifle,97742.5,55,420,20,2880,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long,Side / Short / Long,.45 ACP,,,
1886,The Virginian,P,Named,Rifle,386988.5,35,100,8,3460,60,Rifle Damage,15,Critical Hit Damage,17,A,Perfect Boomerang,,,Tubular,,virginian.png,w_mr_winchester_t1_special_weapons_01.png
M1A,Baker's Dozen,P,Named,Rifle,231346,60,180,13,2860,60,Rifle Damage,15,Critical Hit Damage,17,A,Perfect Lucky Shot,Neutral / Short / Long,Side / Short / Long,MM 7.62,,bakers_dozen.png,w_mr_m14_t1
M4,Surge,P,Named,Rifle,100615,55,380,30,2080,60,Rifle Damage,15,Critical Hit Damage,17,A,Perfect Spike,Neutral / Short / Long / Ironsights,Side / Short / Long,5.56,5.56,surge.png,w_ar_m4_t3
SCAR,Everlasting Gaze,P,Named,Rifle,145850,55,275,10,2450,60,Rifle Damage,15,Critical Hit Damage,17,A,Perfect Perpetuation,Neutral / Short / Long,Side / Short / Long,8.02,8.02,scar.png,w_mr_fnscar-h_t1
SIG 716,Artist's Tool,P,Named,Rifle,125865,45,320,20,2630,60,Rifle Damage,15,Critical Hit Damage,17,A,Perfect Rifleman,Neutral / Short / Long,Side / Short,8.02,,sig_716.png,w_mr_716_t1
SPAS-12,Lullaby,P,Exotic,Shotgun,716008,13,70,8,4780,45,Shotgun Damage,15,Damage to Armor,12,Damage to TOC,Sandman,Lullaby,Lullaby,Lullaby,,lullaby.png,w_stg_exotic_pre_order_spas_t1
SPAS-12,Sweet Dreams,P,Exotic,Shotgun,716008,13,70,8,4780,45,Shotgun Damage,15,Damage to Armor,12,Damage to TOC,Sandman,Sweet Dreams,Sweet Dreams,Sweet Dreams,,sweet_dreams.png,w_stg_exotic_shotgun_t1
AA-12,ACS-12,P,High End,Shotgun,180748,16,300,20,3350,45,Shotgun Damage,15,Damage to Armor,12,A,A,Micro / Neutral / Short,Side / Short / Long,,,acs_12.png,w_stg_aa12_t1
Double Barrel,Double Barrel Shotgun,P,High End,Shotgun,678136,11,200,2,3540,45,Shotgun Damage,15,Damage to Armor,12,A,A,,,,,double_barrel.png,w_stg_doublebarrel_t1
Double Barrel,Double Barrel Shotgun Replica,P,High End,Shotgun,678136,11,200,2,3890,45,Shotgun Damage,15,Damage to Armor,12,A,A,,,,,double_barrel.png,w_stg_doublebarrel_t1
Double Barrel,Double Barrel Sawed Off,S,High End,Shotgun,635712,7,200,2,2510,45,Shotgun Damage,15,Damage to Armor,12,A,A,,,,,double_barrel.png,w_stg_doublebarrel_t1
Double Barrel,Firestarter,S,Named,Shotgun,635712,7,200,2,2510,45,Shotgun Damage,11,Damage to Health,7.5,A,Primer Rounds,,,,,firestarter.png,w_stg_doublebarrel_engraved_t2
M870,Custom M870 MCS,P,High End,Shotgun,703672,11,75,5,3350,45,Shotgun Damage,15,Damage to Armor,12,A,A,Neutral / Short / Long,Side / Short / Long,Tubular,,m870.png,w_stg_870_t1
M870,Custom M870 MCS Replica,P,High End,Shotgun,703672,11,75,5,3350,45,Shotgun Damage,15,Damage to Armor,12,A,A,Neutral / Short / Long,Side / Short / Long,Tubular,,m870.png,w_stg_870_t1
M870,M870 Express,P,High End,Shotgun,703672,11,75,5,3350,45,Shotgun Damage,15,Damage to Armor,12,A,A,Neutral / Short / Long,Side / Short / Long,Tubular,,m870.png,w_stg_870_t1
M870,M870 Express Replica,P,High End,Shotgun,703672,11,75,5,3350,45,Shotgun Damage,15,Damage to Armor,12,A,A,Neutral / Short / Long,Side / Short / Long,Tubular,,m870.png,w_stg_870_t1
M870,Military M870,P,High End,Shotgun,703672,11,75,5,3350,45,Shotgun Damage,15,Damage to Armor,12,A,A,Micro / Neutral / Short,Side / Short / Long,Tubular,,m870.png,w_stg_870_t1
KSG,KSG Shotgun,P,High End,Shotgun,678928,16,70,12,7990,45,Shotgun Damage,15,Damage to Armor,12,A,A,Micro / Neutral / Short,Side / Short / Long,Tubular,,ksg.png,w_stg_kel-tec_ksg_t1
SASG-12,Black Market SASG-12 S,P,High End,Shotgun,364812,14,180,7,3000,45,Shotgun Damage,15,Damage to Armor,12,A,A,Neutral / Short / Long,Side / Short / Long,,,sasg_12.png,w_stg_saiga12_t2
SASG-12,Black Market SASG-12 S Replica,P,High End,Shotgun,364812,14,180,7,3000,45,Shotgun Damage,15,Damage to Armor,12,A,A,Neutral / Short / Long,Side / Short / Long,,,sasg_12.png,w_stg_saiga12_t2
SASG-12,SASG-12,P,High End,Shotgun,364812,14,180,7,3000,45,Shotgun Damage,15,Damage to Armor,12,A,A,Micro / Neutral / Short,Side / Short / Long,,,sasg_12.png,w_stg_saiga12_t2
SASG-12,Tactical SASG-12 K,P,High End,Shotgun,364812,14,180,7,3000,45,Shotgun Damage,15,Damage to Armor,12,A,A,Micro / Neutral / Short,Side / Short / Long,,,sasg_12.png,w_stg_saiga12_t2
SPAS-12,SPAS-12,P,High End,Shotgun,646883,16,70,8,5450,45,Shotgun Damage,15,Damage to Armor,12,A,A,,,Tubular,,spas_12.png,w_stg_spas_12_t1
SPAS-12,SPAS-12 Replica,P,High End,Shotgun,716008,16,70,8,5500,45,Shotgun Damage,15,Damage to Armor,12,A,A,,,Tubular,,spas_12.png,w_stg_spas_12_t1
Super 90,Marine Super 90,P,High End,Shotgun,389936,11,160,8,4650,45,Shotgun Damage,15,Damage to Armor,12,A,A,Neutral / Short / Long,Side / Short / Long,Tubular,,super_90.png,w_stg_benelli_m4_t1
Super 90,Super 90,P,High End,Shotgun,389936,11,160,8,4650,45,Shotgun Damage,15,Damage to Armor,12,A,A,Neutral / Short / Long,Side / Short / Long,Tubular,,super_90.png,w_stg_benelli_m4_t1
Super 90,Super 90 Replica,P,High End,Shotgun,389936,11,160,8,4650,45,Shotgun Damage,15,Damage to Armor,12,A,A,Neutral / Short / Long,Side / Short / Long,Tubular,,super_90.png,w_stg_benelli_m4_t1
Super 90,Tactical Super 90 SBS,P,High End,Shotgun,389936,11,160,8,4650,45,Shotgun Damage,15,Damage to Armor,12,A,A,Neutral / Short / Long,Side / Short / Long,Tubular,,super_90.png,w_stg_benelli_m4_t1
Super 90,Tactical Super 90 SBS Replica,P,High End,Shotgun,389936,11,160,8,4650,45,Shotgun Damage,15,Damage to Armor,12,A,A,Neutral / Short / Long,Side / Short / Long,Tubular,,super_90.png,w_stg_benelli_m4_t1
ACS-12,Rock n' Roll,P,Named,Shotgun,180748,16,300,30,3350,45,Shotgun Damage,15,Damage to Armor,12,A,Perfectly Extra,Micro / Neutral / Short,Side / Short / Long,,,acs_12.png,w_stg_aa12_t1
Double Barrel,Boomstick,P,Named,Shotgun,678136,11,200,2,3890,45,Shotgun Damage,15,Damage to Armor,12,A,Perfect Pumped Up,,,,,boomstick.png,w_stg_doublebarrel_t2
Double Barrel,Backup Boomstick,S,Named,Shotgun,635712,7,200,2,2510,45,Shotgun Damage,17,Damage to Armor,12,A,A,,,,,double_barrel.png,w_stg_doublebarrel_t1
M870,Cuélebre,P,Named,Shotgun,703672,11,75,5,2230,45,Shotgun Damage,15,Damage to Armor,12,A,Perfect Jazz Hands,Micro / Neutral / Short,Side / Short / Long,Tubular,,m870.png,w_stg_870_t1
KSG,The Send-Off,P,Named,Shotgun,678928,32,70,12,7990,45,Shotgun Damage,15,Damage to Armor,12,A,Perfect Distance,Micro / Neutral / Short,Side / Short / Long,Tubular,,ksg.png,w_stg_kel-tec_ksg_t1
SASG-12,Tsunami,P,Named,Shotgun,364812,14,180,7,3000,45,Shotgun Damage,15,Damage to Armor,12,A,Perfect Pummel,Micro / Neutral / Short,Side / Short / Long,,,sasg_12.png,w_stg_saiga12_t2
Super 90,Enforcer,P,Named,Shotgun,389936,11,160,8,4650,45,Shotgun Damage,15,Damage to Armor,12,A,Perfect Pummel,Micro / Neutral / Short,Side / Short / Long,Tubular,,super_90.png,w_stg_benelli_m4_t1
CMGG,Lady Death,P,Exotic,SMG,35409,21,900,32,1750,50,SMG Damage,15,Critical Hit Chance,21,Damage to Armor,Breathe Free,Lady Death,Lady Death,Lady Death,Lady Death,lady-death.png,w_smg_cmmg_banshee_exotic_t1
P90,The Chatterbox,P,Exotic,SMG,39457,21,850,50,1430,50,SMG Damage,15,Critical Hit Chance,21,Critical Hit Damage,Incessant Chatter,The Chatterbox,The Chatterbox,The Chatterbox,The Chatterbox,the-chatterbox.png,w_smg_exoticsmg_t1
AUG,AUG A3 Para XS,P,High End,SMG,58661.5,22,725,25,2310,50,SMG Damage,15,Critical Hit Chance,21,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,9mm,9mm,aug.png,w_smg_aug-a3p_t1
AUG,Enhanced AUG A3P,P,High End,SMG,58661.5,22,725,25,2310,50,SMG Damage,15,Critical Hit Chance,21,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,9mm,9mm,aug.png,w_smg_aug-a3p_t1
AUG,Tactical AUG A3P,P,High End,SMG,58661.5,22,725,25,2310,50,SMG Damage,15,Critical Hit Chance,21,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,9mm,9mm,aug.png,w_smg_aug-a3p_t1
AUG,Tactical AUG A3P Replica,P,High End,SMG,58661.5,22,725,25,2310,50,SMG Damage,15,Critical Hit Chance,21,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,9mm,9mm,aug.png,w_smg_aug-a3p_t1
CMMG,CMMG Banshee,P,High End,SMG,47848.5,21,900,32,1920,50,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Neutral / Short,Side / Short,9mm,9mm,cmmg.png,w_smg_cmmg_banshee_t1
MP5,MP5 ST,P,High End,SMG,53903.5,21,800,30,1790,50,SMG Damage,15,Critical Hit Chance,21,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,9mm,9mm,mp5.png,w_smg_mp5_t1
MP5,MP5 ST Replica,P,High End,SMG,53903.5,21,800,30,1790,50,SMG Damage,15,Critical Hit Chance,21,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,9mm,9mm,mp5.png,w_smg_mp5_t1
MP5,MP5-N,P,High End,SMG,53903.5,21,800,30,1790,50,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Neutral / Short,Side / Short / Long,9mm,9mm,mp5.png,w_smg_mp5_t1
MP5,MP5A2,P,High End,SMG,53903.5,21,800,30,1790,50,SMG Damage,15,Critical Hit Chance,21,A,A,Neutral / Short / Long,Side / Short,9mm,9mm,mp5.png,w_smg_mp5_t1
MP7,MP7,P,High End,SMG,47952,19,950,40,2000,50,SMG Damage,15,Critical Hit Chance,21,A,A,Neutral / Short / Long,Side / Short,,5.56,mp7.png,w_smg_mp7_t1
MPX,SIG MPX,P,High End,SMG,50998.5,22,850,30,2090,50,SMG Damage,15,Critical Hit Chance,21,A,A,Neutral / Short / Long,Side / Short,9mm,9mm,mpx.png,w_smg_mpx_t1
P90,P90,P,High End,SMG,39457,21,1100,50,1570,50,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Neutral / Short,,,5.56,p90.png,w_smg_p90_t1
P90,P90 Replica,P,High End,SMG,39457,21,1100,50,1570,50,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Neutral / Short,,,5.56,p90.png,w_smg_p90_t1
PP-19,Enhanced PP-19,P,High End,SMG,63593,21,700,53,1460,50,SMG Damage,15,Critical Hit Chance,21,A,A,Neutral / Short / Long,,,9mm,pp_19.png,w_smg_pp19bizon_t1
PP-19,PP-19,P,High End,SMG,63593,21,700,53,1460,50,SMG Damage,15,Critical Hit Chance,21,A,A,Neutral / Short / Long,,,9mm,pp_19.png,w_smg_pp19bizon_t1
SMG-9,Converted SMG-9,P,High End,SMG,48511.5,15,1000,32,2260,50,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Neutral / Short,,9mm,9mm,smg_9.png,w_smg_tec_9_t1
SMG-9,Converted SMG-9 A2,P,High End,SMG,46734.5,15,1000,32,2300,50,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Neutral / Short,Side / Short,9mm,9mm,smg_9.png,w_smg_tec_9_t1
SMG-9,Converted SMG-9 Replica,P,High End,SMG,48511.5,15,1000,32,2260,50,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Neutral / Short,,9mm,9mm,smg_9.png,w_smg_tec_9_t1
T821,Black Market T821,P,High End,SMG,76916,20,550,32,1470,50,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Neutral / Short,Side / Short,9mm,9mm,t821.png,w_smg_socimi821_t1
T821,Black Market T821 Replica,P,High End,SMG,76916,20,550,32,1470,50,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Neutral / Short,Side / Short,9mm,9mm,t821.png,w_smg_socimi821_t1
T821,Police T821,P,High End,SMG,76916,20,550,32,1470,50,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Neutral / Short,Side / Short,9mm,9mm,t821.png,w_smg_socimi821_t1
Thompson,M1928,P,High End,SMG,78416,19,600,30,1460,50,SMG Damage,15,Critical Hit Chance,21,A,A,,,.45 ACP,,thompson.png,w_smg_thompson_t1
Thompson,Tommy Gun,P,High End,SMG,50627,19,900,50,1540,50,SMG Damage,15,Critical Hit Chance,21,A,A,,,,,thompson.png,w_smg_thompson_t1
UMP-45,Police UMP-45,P,High End,SMG,63691.5,16,650,25,1670,50,SMG Damage,15,Critical Hit Chance,21,A,A,Neutral / Short / Long,Side / Short / Long,.45 ACP,.45 ACP,ump_45.png,w_smg_ump45_t1
UMP-45,Tactical UMP-45,P,High End,SMG,63691.5,16,650,25,1670,50,SMG Damage,15,Critical Hit Chance,21,A,A,Neutral / Short / Long,Side / Short / Long,.45 ACP,.45 ACP,ump_45.png,w_smg_ump45_t1
UMP-45,Tactical UMP-45 Replica,P,High End,SMG,63691.5,16,650,25,1670,50,SMG Damage,15,Critical Hit Chance,21,A,A,Neutral / Short / Long,Side / Short / Long,.45 ACP,.45 ACP,ump_45.png,w_smg_ump45_t1
Vector,Tactical Vector SBR 9mm,P,High End,SMG,40505.5,15,1200,19,1690,50,SMG Damage,15,Critical Hit Chance,21,A,A,Neutral / Short / Long / Ironsights,Side / Short,9mm,9mm,vector.png,w_smg_krissvector_t1
Vector,Vector SBR .45 ACP,P,High End,SMG,38300.5,15,1200,25,2060,50,SMG Damage,15,Critical Hit Chance,21,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,.45 ACP,.45 ACP,vector.png,w_smg_krissvector_t1
Vector,Vector SBR .45 ACP Replica,P,High End,SMG,38300.5,15,1200,25,2060,50,SMG Damage,15,Critical Hit Chance,21,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,.45 ACP,.45 ACP,vector.png,w_smg_krissvector_t1
Vector,Vector SBR 9mm,P,High End,SMG,39306.5,15,1200,33,2380,50,SMG Damage,15,Critical Hit Chance,21,A,A,Neutral / Short / Long / Ironsights,Side / Short,9mm,9mm,vector.png,w_smg_krissvector_t1
CMMG,The Grudge,P,Named,SMG,47848.5,21,900,32,1920,50,SMG Damage,15,Critical Hit Chance,21,A,Perfect Vindictive,Micro / Neutral / Short,Side / Short,9mm,9mm,cmmg.png,w_smg_cmmg_banshee_t1
MP7,Swap Chain,P,Named,SMG,47952,19,950,40,2000,50,SMG Damage,15,Critical Hit Chance,21,A,Perfect Unwavering,Neutral / Short / Long,Side / Short,,,mp7.png,w_smg_mp7_t1
MPX,Safety Distance,P,Named,SMG,50998.5,22,850,30,2090,50,SMG Damage,15,Critical Hit Chance,21,A,Perfect Outsider,Neutral / Short / Long,Side / Short,9mm,9mm,mpx.png,w_smg_mpx_t1
MPX,The Apartment,P,Named,SMG,50998.5,22,850,30,2090,50,SMG Damage,15,Critical Hit Chance,21,A,Perfectly Measured,Neutral / Short / Long,Side / Short,9mm,9mm,mpx.png,w_smg_mpx_t1
P90,Emeline's Guard,P,Named,SMG,39457,21,1100,50,1570,50,SMG Damage,15,Critical Hit Chance,21,A,Perfect Preservation,Micro / Neutral / Short,,,5.56,p90.png,w_smg_p90_t1
PP-19,Cold Relations,P,Named,SMG,63593,21,700,53,1460,50,SMG Damage,15,Critical Hit Chance,21,A,Perfect Strained,Neutral / Short / Long,,,9mm,pp_19.png,w_smg_pp19bizon_t1
Thompson,The Sleigher,P,Named,SMG,92989.5,16,250,50,2300,50,SMG Damage,15,Critical Hit Chance,21,A,Hidden Rock,,,,,the_sleigher.png,w_smg_thompson_t2_xmas
Vector,Dark Winter,P,Named,SMG,38300.5,15,1200,25,2060,50,SMG Damage,15,Critical Hit Chance,21,A,Perfect Killer,Neutral / Short / Long / Ironsights,Side / Short / Long,.45 ACP,.45 ACP,vector.png,w_smg_krissvector_t1
93R,Sharpshooters 93R,S,Named,Pistol,52977.5,12,700,20,1560,100,Pistol Damage,11,Reload Speed,9.3,,Perfect Unwavering,,,Pistol,9mm,93r.png,w_p_93r_t1
Rhino,Diceros Special,S,Named,Pistol,198305.5,18,180,6,1930,100,Pistol Damage,11,Stability,9.3,,Perfect Optimist,Micro / Neutral / Short,Gadget,Revolver Drum,,rhino.png,w_p_rhino_t1
Desert Eagle,Survivalist D50,S,Named,Pistol,189171.5,18,200,8,2240,100,Pistol Damage,11,Damage to TOC,8,A,Perfect Sadist,Micro / Neutral / Short,,,,desert_eagle.png,w_p_desert_eagle_t1
P320,P320 XCompact,S,Named,Pistol,87522,12,380,17,1770,100,Pistol Damage,11,Damage to Armor,5,,Perfect Preservation,Micro / Neutral,Gadget,Pistol,9mm,p320.png,w_p_sig_p320_t1
M1911,Maxim 9,S,Named,Pistol,125385,16,280,17,1390,100,Pistol Damage,11,,,Headshot Damage,Perfect Spike,,,Pistol,,m1911.png,w_p_m1911_t1
SIX12,SIX12,P,High End,Shotgun,409568,14,130,7,3000,45,Shotgun Damage,15,Damage to Armor,12,A,A,Micro / Neutral / Short,Side / Short / Long,Tubular,,six_12.png,w_stg_crye_six12_t1
SIX12,The Mop,P,Named,Shotgun,409568,14,130,7,3000,45,Shotgun Damage,15,Damage to Armor,12,Armor on Kill %,A,Micro / Neutral / Short,Side / Short / Long,Tubular,,six_12.png,w_stg_crye_six12_t1
SIX12,Scorpio,P,Exotic,Shotgun,409568,14,130,7,2500,45,Shotgun Damage,15,Damage to Armor,12,Critical Hit Damage,Septic Shock,Scorpio,Scorpio,Scorpio,Scorpio,scorpio.png,w_stg_crye_six12_exotic_t1
PDR,Capacitor,P,Exotic,Assault Rifle,57617.5,31,700,30,1850,55,Assault Rifle Damage,15,Damage to Armor,12,Health Damage,Capacitance,Capacitor,Capacitor,Capacitor,Capacitor,capacitor.png,
PDR,PDR,P,High End,Assault Rifle,57617.5,31,700,30,2040,55,Assault Rifle Damage,15,Damage to Health,21,A,A,Micro / Neutral / Short,,5.56,5.56,pdr.png,w_ar_magpul_pdr_t1
PDR,Test Subject,P,Named,Assault Rifle,57617.5,31,700,30,2040,55,Assault Rifle Damage,15,Damage to Health,21,A,Perfectly In Sync,Micro / Neutral / Short,,5.56,5.56,pdr.png,w_ar_magpul_pdr_t1
KARD,KARD-45,S,High End,Pistol,114267,12,310,10,1710,100,Pistol Damage,15,,,A,A,Micro / Neutral,Gadget,Pistol,9mm,kard.png,w_p_kriss_kard_t1
KARD,"TDI """"Kard"""" Custom",S,Named,Pistol,114267,12,310,10,1710,100,Pistol Damage,15,,,Skill Tier,A,Micro / Neutral,Gadget,Pistol,9mm,kard.png,w_p_kriss_kard_t1
Tactical .308,Tactical .308,P,High End,Marksman Rifle,403809.5,50,70,7,3040,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long,Side / Short / Long,MM 7.62,8.02,tactical_308.png,w_mr_brace_built_barrier_tactical_t1
Tactical .308,Scalpel,P,Named,Marksman Rifle,403809.5,50,90,7,3040,0,Marksman Rifle Damage,15,Headshot Damage,111,A,Future Perfection,Neutral / Short / Long,Side / Short / Long,MM 7.62,8.02,tactical_308.png,w_mr_brace_built_barrier_tactical_t1
Sig Sauer 556,SIG 556,P,High End,Assault Rifle,55934.5,28,700,30,2170,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short,5.56,5.56,sig_sauer_556.png,w_ar_sig556_t1
Sig Sauer 556,Mechanical Animal,P,Named,Assault Rifle,55934.5,28,700,30,2170,55,Assault Rifle Damage,15,Health Damage,21,A,Future Perfection,Neutral / Short / Long,Side / Short,5.56,5.56,sig_sauer_556.png,w_ar_sig556_t1
MPX,Backfire,P,Exotic,SMG,50998.5,22,850,30,2090,50,SMG Damage,15,Critical Hit Chance,21,Mag Size %,Payment in Kind,Backfire,Backfire,Backfire,Backfire,backfire.png,w_smg_mpx_exotic_t1
SRS,Mantis,P,Exotic,Marksman Rifle,409357,60,60,7,3900,0,Marksman Rifle Damage,15,Headshot Damage,111,Damage to TOC,In Plain Sight,Mantis,Mantis,Mantis,Mantis,mantis.png,w_mr_srs_exotic_t1
MK47,Resolute MK47,P,High End,Rifle,124901,55,300,30,1940,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,resolute_mk47.png,w_ar_cmmg_resolute_300_t1
